reference_hotel_id,reference_room_id,reference_room_name,reference_processed_name,supplier_room_id,supplier_room_name,supplier_processed_name,text_similarity
13940386,1143594084,"Standard Shared Dormitory, Mixed Dorm (Bed in 4-Bed Dormitory)",standard shared dormitory mixed dormitory bed 4bed dormitory,201627609,Shared Dormitory (1 Bed in 8-Bed Mixed Dormitory),shared dormitory 1 bed 8bed mixed dormitory,0.86
13944916,1143625406,"Shared Dormitory, Mixed Dorm, Shared Bathroom (1 bed)",shared dormitory mixed dormitory shared bathroom 1 bed,201111736,"Shared Dormitory, Mixed Dorm, Shared Bathroom (8 beds)",shared dormitory mixed dormitory shared bathroom 8 bed,0.98
13490509,1141930449,Room (Twin (Two Beds)),room twin two bed,201774610,"Room, 2 Twin Beds",room 2 twin bed,0.97
6801574,680157403,Beach Pool Villa,beach pool villa,321507855,Beach Front Pool Villa,beach front pool villa,0.96
13682021,1142098515,"Deluxe Room, Non Smoking (Twin Room)",deluxe room non smoking twin room,200931680,"Deluxe Twin Room, Non Smoking",deluxe twin room non smoking,0.96
13908073,1143562229,"Deluxe Studio Suite, 1 Twin Bed",deluxe studio suite 1 twin bed,200994173,"Deluxe Studio, 1 Twin Bed",deluxe studio 1 twin bed,0.97
13432666,1142153102,"Double Room, Sea View (2 Adults)",double room sea view 2 adult,201876059,"Standard Double Room, Sea View (2 adults)",standard double room sea view 2 adult,0.96
25480,2548015,Premium Double Room with Ocean View,premium double room ocean view,201269265,"Premium Double Room, Partial Ocean View",premium double room partial ocean view,0.97
13588791,1142017997,"Standard Room, 1 Double or 2 Twin Beds, Garden View",standard room 1 double 2 twin bed garden view,200053870,"Standard Room, 1 Double Bed, Garden View",standard room 1 double bed garden view,0.96
13722530,1142413076,"Cottage, 3 Bedrooms, 2 Bathrooms",cottage 3 bedroom 2 bathrooms,202070418,"Cottage, 2 Bedrooms, 2 Bathrooms",cottage 2 bedroom 2 bathrooms,0.86
13704368,1142398841,"Standard Single Room, Mountain View",standard single room mountain view,200580322,"Single Room, Mountain View",single room mountain view,0.96
13460878,1142171274,Room (Standard Room (Ocean View)),room standard room ocean view,200813465,Standard Room Ocean View,standard room ocean view,0.97
