reference_hotel_id,reference_room_id,reference_room_name,reference_processed_name,supplier_room_id,supplier_room_name,supplier_processed_name,text_similarity
13843558,1143480514,"Luxury Villa, 2 Bedrooms, Private Bathroom, Sea View",luxury villa 2 bedroom private bathroom sea view,200444033,"Luxury Villa, 4 Bedrooms, Private Pool, Sea View",luxury villa 4 bedroom private pool sea view,0.86
7247014,724701402,Apartment with Lake View,apartment lake view,202253307,"Family Suite, Lake View",family suite lake view,0.87
13671830,1142653788,Deluxe Room (with  AC),deluxe room ac,200906964,Deluxe Room,deluxe room,0.86
13900908,1143536339,"Premium Condo, 1 Bedroom, Lake View, Corner",premium condo 1 bedroom lake view corner,219010515,"Premium Apartment, 1 Bedroom, River View",premium apartment 1 bedroom river view,0.87
13947418,1143644458,Deluxe Suite (2-bedroom),deluxe suite 2bedroom,201147453,Deluxe Suite Room,deluxe suite room,0.87
13494197,1142750674,"Grand Suite, 1 King Bed with Sofa bed, Sea View (Okyanus)",grand suite 1 king bed sofa bed sea view okyanus,217204844,"Deluxe Suite, 1 King Bed with Sofa bed, City View",deluxe suite 1 king bed sofa bed city view,0.85
10245397,1024539701,Budget Twin Room,budget twin room,156496,"Small ""Budget"" Double Room",small budget double room,0.86
284410,28441004,Authentic Double Room with Shared Bathroom and Toilet,authentic double room shared bathroom toilet,201037005,"Standard Double Room, Shared Bathroom",standard double room shared bathroom,0.85
13712105,1142133370,4-Bedroom Luxury Villa,4bedroom luxury villa,201006702,Four Bedroom Villa with Spa,four bedroom villa spa,0.86
13706970,1142948224,Family Room (Comfort),family room comfort,224886,Comfort Room,comfort room,0.85
1565054,156505402,Deluxe Queen Studio ,deluxe queen studio,200908563,Queen Studio,queen studio,0.87
13715834,1142679544,Room (Twin (Single and Double OTT)),room twin single double ott,200977124,Standard Double or Twin Room (Single Use),standard double twin room single use,0.85
13918755,1143586070,"Standard Double Room, Ensuite (3rd flr cosy double rm 7)",standard double room ensuite 3rd flr cosy double rm 7,217825012,"Standard Double Room, Ensuite",standard double room ensuite,0.87
13836781,1143450534,"2 Bedroom Suite, Kitchen, 2 Bathrooms",2 bedroom suite kitchen 2 bathrooms,83918,Two Bedroom Apartment with Two Bathrooms,two bedroom apartment two bathrooms,0.86
13882747,1143506041,"Apartment, Multiple Beds, City View",apartment multiple bed city view,201050770,"Apartment, 1 Bedroom, City View",apartment 1 bedroom city view,0.87
13566551,1142276838,"Economy Double or Twin Room, Non Smoking, City View",economy double twin room non smoking city view,202078584,"Standard Twin Room, Single Use, City View, Non Smoking",standard twin room single use city view non smoking,0.86
13479909,1142193422,Room (Suite Party Room),room suite party room,201019832,Club Suite Room,club suite room,0.85
13699144,1142124069,"Bunk Bed Twin Room, Non Smoking",bunk bed twin room non smoking,201193090,Bunk Twin Room,bunk twin room,0.85
13519673,1142234141,"Premier Room, 2 Queen Beds (Grand)",premier room 2 queen bed grand,297684,"Standard Room, 2 Queen Beds",standard room 2 queen bed,0.87
13625723,1142044067,Suite Room with mountain view,suite room mountain view,201399262,"Single Room, Mountain View",single room mountain view,0.86
13946624,1143636019,"Family Twin Room, Ocean View (Assigned upon Check-In)",family twin room ocean view assigned upon checkin,202222159,Ocean View Twin Room,ocean view twin room,0.87
13903547,1143540387,"Duplex, Sea View (Maisonette)",duplex sea view maisonette,201024222,"Apartment, Sea View (Maisonette)",apartment sea view maisonette,0.86
13575064,1142836009,Japanese Western Style Room Non-Smoking,japanese western style room nonsmoking,201034766,Japanese Style Room,japanese style room,0.86
13947363,1143643498,Roomy Terrace,roomy terrace,217529451,"Suite, Terrace",suite terrace,0.87
13920880,1143595598,"Family Villa, 6 Bedrooms, Sauna, Pool View",family villa 6 bedroom sauna pool view,218461961,"Deluxe Studio Suite, 1 Bedroom, Sauna, Pool View",deluxe studio suite 1 bedroom sauna pool view,0.87
